scene_id,acquisition_date,acquisition_datetime_utc,wrs_path,wrs_row,aoi_cloud_cover_pct,split
LC08_L2SP_144051_20160421_02_T1,2016-04-21,2016-04-21T05:10:24Z,144,51,0.0002,train
LC08_L2SP_144051_20160523_02_T1,2016-05-23,2016-05-23T05:10:29Z,144,51,0.4194,train
LC08_L2SP_144051_20161217_02_T1,2016-12-17,2016-12-17T05:11:07Z,144,51,4.9132,train
LC08_L2SP_144051_20170408_02_T1,2017-04-08,2017-04-08T05:10:23Z,144,51,4.011,train
LC08_L2SP_144051_20170424_02_T1,2017-04-24,2017-04-24T05:10:13Z,144,51,0.0006,train
LC08_L2SP_144051_20170526_02_T1,2017-05-26,2017-05-26T05:10:25Z,144,51,4.9963,train
LC08_L2SP_144051_20180411_02_T1,2018-04-11,2018-04-11T05:10:13Z,144,51,2.4102,train
LC08_L2SP_144051_20180513_02_T1,2018-05-13,2018-05-13T05:09:54Z,144,51,0.1425,train
LC08_L2SP_144051_20190516_02_T1,2019-05-16,2019-05-16T05:10:27Z,144,51,0.4641,train
LC08_L2SP_144051_20190601_02_T1,2019-06-01,2019-06-01T05:10:36Z,144,51,1.1317,train
LC08_L2SP_144051_20200416_02_T1,2020-04-16,2020-04-16T05:10:27Z,144,51,0.1217,train
LC08_L2SP_144051_20200502_02_T1,2020-05-02,2020-05-02T05:10:19Z,144,51,2.5967,train
LC08_L2SP_144051_20201212_02_T1,2020-12-12,2020-12-12T05:11:13Z,144,51,0.8337,train
LC08_L2SP_144051_20210403_02_T1,2021-04-03,2021-04-03T05:10:38Z,144,51,7.6036,train
LC08_L2SP_144051_20210419_02_T1,2021-04-19,2021-04-19T05:10:31Z,144,51,0.5114,train
LC09_L2SP_144051_20211223_02_T1,2021-12-23,2021-12-23T05:11:09Z,144,51,8.1228,train
LC09_L2SP_144051_20221023_02_T1,2022-10-23,2022-10-23T05:11:19Z,144,51,0.2962,train
LC08_L2SP_144051_20221031_02_T1,2022-10-31,2022-10-31T05:11:31Z,144,51,0.4175,train
LC08_L2SP_144051_20231018_02_T1,2023-10-18,2023-10-18T05:11:01Z,144,51,1.1638,train
LC09_L2SP_144051_20231111_02_T1,2023-11-11,2023-11-11T05:11:03Z,144,51,3.4442,train
LC08_L2SP_144051_20231119_02_T1,2023-11-19,2023-11-19T05:11:06Z,144,51,3.0356,train
LC09_L2SP_144051_20241028_02_T1,2024-10-28,2024-10-28T05:11:01Z,144,51,9.2564,train
LC09_L2SP_144051_20241215_02_T1,2024-12-15,2024-12-15T05:11:00Z,144,51,5.8933,test
LC09_L2SP_144051_20241231_02_T1,2024-12-31,2024-12-31T05:10:59Z,144,51,1.5968,test
LC09_L2SP_144051_20251116_02_T1,2025-11-16,2025-11-16T05:11:13Z,144,51,4.4221,test
LC08_L2SP_144051_20251210_02_T1,2025-12-10,2025-12-10T05:11:08Z,144,51,2.8115,test
