scene_id,acquisition_date,acquisition_datetime_utc,wrs_path,wrs_row,aoi_cloud_cover_pct,split
LC08_L2SP_142051_20160423_02_T1,2016-04-23,2016-04-23T04:58:01Z,142,51,0.6431,train
LC08_L2SP_142051_20160728_02_T1,2016-07-28,2016-07-28T04:58:31Z,142,51,3.752,train
LC08_L2SP_142051_20161016_02_T1,2016-10-16,2016-10-16T04:58:50Z,142,51,4.7899,train
LC08_L2SP_142051_20170325_02_T1,2017-03-25,2017-03-25T04:58:07Z,142,51,0.0004,train
LC08_L2SP_142051_20180107_02_T1,2018-01-07,2018-01-07T04:58:37Z,142,51,0.3376,train
LC08_L2SP_142051_20190315_02_T1,2019-03-15,2019-03-15T04:58:06Z,142,51,0.0032,train
LC08_L2SP_142051_20190331_02_T1,2019-03-31,2019-03-31T04:58:03Z,142,51,0.0115,train
LC08_L2SP_142051_20190416_02_T1,2019-04-16,2019-04-16T04:57:58Z,142,51,0.1622,train
LC08_L2SP_142051_20200214_02_T1,2020-02-14,2020-02-14T04:58:32Z,142,51,0.5172,train
LC08_L2SP_142051_20200317_02_T1,2020-03-17,2020-03-17T04:58:21Z,142,51,3.7116,train
LC08_L2SP_142051_20200402_02_T1,2020-04-02,2020-04-02T04:58:11Z,142,51,0.0334,train
LC08_L2SP_142051_20210216_02_T1,2021-02-16,2021-02-16T04:58:35Z,142,51,0.0231,train
LC08_L2SP_142051_20210304_02_T1,2021-03-04,2021-03-04T04:58:28Z,142,51,2.9681,train
LC09_L2SP_142051_20211225_02_T1,2021-12-25,2021-12-25T04:58:48Z,142,51,8.7301,train
LC09_L2SP_142051_20220331_02_T1,2022-03-31,2022-03-31T04:58:27Z,142,51,0.0915,train
LC08_L2SP_142051_20220526_02_T1,2022-05-26,2022-05-26T04:58:26Z,142,51,1.5947,train
LC09_L2SP_142051_20221025_02_T1,2022-10-25,2022-10-25T04:58:58Z,142,51,0.1335,train
LC09_L2SP_142051_20230214_02_T1,2023-02-14,2023-02-14T04:58:59Z,142,51,2.6645,train
LC08_L2SP_142051_20230222_02_T1,2023-02-22,2023-02-22T04:58:38Z,142,51,0.0139,train
LC09_L2SP_142051_20230302_02_T1,2023-03-02,2023-03-02T04:58:45Z,142,51,1.0207,train
LC08_L2SP_142051_20230411_02_T1,2023-04-11,2023-04-11T04:58:04Z,142,51,1.3982,train
LC09_L2SP_142051_20230419_02_T1,2023-04-19,2023-04-19T04:58:21Z,142,51,0.0079,train
LC08_L2SP_142051_20230902_02_T1,2023-09-02,2023-09-02T04:58:30Z,142,51,0.3849,train
LC08_L2SP_142051_20231020_02_T1,2023-10-20,2023-10-20T04:58:38Z,142,51,9.3349,train
LC09_L2SP_142051_20240116_02_T1,2024-01-16,2024-01-16T04:58:47Z,142,51,2.2959,train
LC08_L2SP_142051_20240312_02_T1,2024-03-12,2024-03-12T04:58:21Z,142,51,1.1223,train
LC09_L2SP_142051_20240405_02_T1,2024-04-05,2024-04-05T04:58:30Z,142,51,1.0497,train
LC08_L2SP_142051_20240429_02_T1,2024-04-29,2024-04-29T04:57:53Z,142,51,2.9715,train
LC08_L2SP_142051_20240531_02_T1,2024-05-31,2024-05-31T04:57:33Z,142,51,0.3336,train
LC09_L2SP_142051_20240710_02_T1,2024-07-10,2024-07-10T04:57:53Z,142,51,0.2861,train
LC09_L2SP_142051_20240811_02_T1,2024-08-11,2024-08-11T04:58:04Z,142,51,0.3976,train
LC09_L2SP_142051_20240912_02_T1,2024-09-12,2024-09-12T04:58:20Z,142,51,0.4096,train
LC09_L2SP_142051_20250203_02_T1,2025-02-03,2025-02-03T04:58:37Z,142,51,6.7679,test
LC08_L2SP_142051_20250211_02_T1,2025-02-11,2025-02-11T04:58:31Z,142,51,9.4631,test
LC09_L2SP_142051_20250307_02_T1,2025-03-07,2025-03-07T04:58:35Z,142,51,0.0005,test
LC08_L2SP_142051_20250315_02_T1,2025-03-15,2025-03-15T04:58:17Z,142,51,3.7645,test
LC09_L2SP_142051_20250424_02_T1,2025-04-24,2025-04-24T04:58:14Z,142,51,7.8265,test
LC08_L2SP_142051_20250806_02_T1,2025-08-06,2025-08-06T04:58:28Z,142,51,2.6965,test
LC08_L2SP_142051_20260302_02_T1,2026-03-02,2026-03-02T04:58:28Z,142,51,0.048,test
LC08_L2SP_142051_20260403_02_T1,2026-04-03,2026-04-03T04:58:06Z,142,51,1.4249,test
LC08_L2SP_142051_20260419_02_T1,2026-04-19,2026-04-19T04:58:03Z,142,51,0.0174,test
LC09_L2SP_142051_20260427_02_T1,2026-04-27,2026-04-27T04:58:14Z,142,51,0.1318,test
LC08_L2SP_142051_20260606_02_T1,2026-06-06,2026-06-06T04:57:36Z,142,51,0.1502,test
